
--- Game 25 ---
Step 172: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': 0.4, 'openness': 0, 'self_loop': 0, 'tail_follow': 0}
Step 173: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': -0.2, 'openness': 0.16000000000000003, 'self_loop': 0, 'tail_follow': 0}
Step 174: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': -0.2, 'openness': 0.16000000000000003, 'self_loop': 0, 'tail_follow': 0}
Step 175: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': 0.4, 'openness': 0, 'self_loop': 0, 'tail_follow': 0}
Step 176: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': 0.4, 'openness': 0, 'self_loop': 0, 'tail_follow': 0}
Step 177: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': -0.2, 'openness': 0.16000000000000003, 'self_loop': 0, 'tail_follow': 0}
Step 178: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': -0.2, 'openness': 0.16000000000000003, 'self_loop': 0, 'tail_follow': 0}
Step 179: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': 0.4, 'openness': 0, 'self_loop': 0, 'tail_follow': 0}
Step 180: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': 0.4, 'openness': 0, 'self_loop': 0, 'tail_follow': 0}
Step 181: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': -0.2, 'openness': 0.16000000000000003, 'self_loop': 0, 'tail_follow': 0}
Step 182: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': -0.2, 'openness': 0.16000000000000003, 'self_loop': 0, 'tail_follow': 0}
Step 183: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': 0.4, 'openness': 0, 'self_loop': 0, 'tail_follow': 0}
Step 184: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': 0.4, 'openness': 0, 'self_loop': 0, 'tail_follow': 0}
Step 185: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': -0.2, 'openness': 0.16000000000000003, 'self_loop': 0, 'tail_follow': 0}
Step 186: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': -0.2, 'openness': 0.16000000000000003, 'self_loop': 0, 'tail_follow': 0}
Step 187: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': 0.4, 'openness': 0, 'self_loop': 0, 'tail_follow': 0}
Step 188: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': 0.4, 'openness': 0, 'self_loop': 0, 'tail_follow': 0}
Step 189: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': -0.2, 'openness': 0.16000000000000003, 'self_loop': 0, 'tail_follow': 0}
Step 190: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': -0.2, 'openness': 0.16000000000000003, 'self_loop': 0, 'tail_follow': 0}
Step 191: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': 0.4, 'openness': 0, 'self_loop': 0, 'tail_follow': 0}
Step 192: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': 0.4, 'openness': 0, 'self_loop': 0, 'tail_follow': 0}
Step 193: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': -0.2, 'openness': 0.16000000000000003, 'self_loop': 0, 'tail_follow': 0}
Step 194: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': -0.2, 'openness': 0.16000000000000003, 'self_loop': 0, 'tail_follow': 0}
Step 195: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': 0.4, 'openness': 0, 'self_loop': 0, 'tail_follow': 0}
Step 196: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': 0.4, 'openness': 0, 'self_loop': 0, 'tail_follow': 0}
Step 197: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': -0.2, 'openness': 0.16000000000000003, 'self_loop': 0, 'tail_follow': 0}
Step 198: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': -0.2, 'openness': 0.16000000000000003, 'self_loop': 0, 'tail_follow': 0}
Step 199: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': 0.4, 'openness': 0, 'self_loop': 0, 'tail_follow': 0}
Step 200: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': 0.4, 'openness': 0, 'self_loop': 0, 'tail_follow': 0}
Step 201: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': -5, 'shape': -0.2, 'openness': 0, 'self_loop': 0, 'tail_follow': 0}

--- Game 80 ---
Step 1: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': -0.2, 'openness': 0.16000000000000003, 'self_loop': 0, 'tail_follow': 0}
Step 2: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': 0.4, 'openness': 0.16000000000000003, 'self_loop': 0, 'tail_follow': 0}
Step 3: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': 0.4, 'openness': 0.16000000000000003, 'self_loop': 0, 'tail_follow': 0}
Step 4: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': 0.4, 'openness': 0.16000000000000003, 'self_loop': 0, 'tail_follow': 0}
Step 5: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': 0.4, 'openness': 0.16000000000000003, 'self_loop': 0, 'tail_follow': 0}
Step 6: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': 0.4, 'openness': 0.16000000000000003, 'self_loop': 0, 'tail_follow': 0}
Step 7: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': 0.4, 'openness': 0.16000000000000003, 'self_loop': 0, 'tail_follow': 0}
Step 8: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': 0.4, 'openness': 0.14400000000000002, 'self_loop': 0, 'tail_follow': 0}
Step 9: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': 0.4, 'openness': 0.12800000000000003, 'self_loop': 0, 'tail_follow': 0}
Step 10: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': 0.4, 'openness': 0, 'self_loop': 0, 'tail_follow': 0}
Step 11: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': 0.4, 'openness': 0, 'self_loop': 0, 'tail_follow': 0}
Step 12: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': 0.4, 'openness': 0, 'self_loop': 0, 'tail_follow': 0}
Step 13: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': 0.4, 'openness': 0, 'self_loop': 0, 'tail_follow': 0}
Step 14: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': 0.4, 'openness': 0.16000000000000003, 'self_loop': 0, 'tail_follow': 0}
Step 15: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': 0.4, 'openness': 0.16000000000000003, 'self_loop': 0, 'tail_follow': 0}
Step 16: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': 0.4, 'openness': 0.16000000000000003, 'self_loop': 0, 'tail_follow': 0}
Step 17: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': 0.4, 'openness': 0.14400000000000002, 'self_loop': 0, 'tail_follow': 0}
Step 18: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': 0.4, 'openness': 0.12800000000000003, 'self_loop': 0, 'tail_follow': 0}
Step 19: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': 0.4, 'openness': 0, 'self_loop': 0, 'tail_follow': 0}
Step 20: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': 0.4, 'openness': 0, 'self_loop': 0, 'tail_follow': 0}
Step 21: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': -0.2, 'openness': 0.16000000000000003, 'self_loop': 0, 'tail_follow': 0}
Step 22: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': -0.2, 'openness': 0.16000000000000003, 'self_loop': 0, 'tail_follow': 0}
Step 23: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': -0.2, 'openness': 0.16000000000000003, 'self_loop': 0, 'tail_follow': 0}
Step 24: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': -0.2, 'openness': 0.16000000000000003, 'self_loop': 0, 'tail_follow': 0}
Step 25: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': -0.2, 'openness': 0.16000000000000003, 'self_loop': 0, 'tail_follow': 0}
Step 26: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': -0.2, 'openness': 0.16000000000000003, 'self_loop': 0, 'tail_follow': 0}
Step 27: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': -0.2, 'openness': 0.16000000000000003, 'self_loop': 0, 'tail_follow': 0}
Step 28: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': -0.2, 'openness': 0.16000000000000003, 'self_loop': 0, 'tail_follow': 0}
Step 29: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': -0.2, 'openness': 0.16000000000000003, 'self_loop': 0, 'tail_follow': 0}
Step 30: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': 0.4, 'openness': 0.16000000000000003, 'self_loop': 0, 'tail_follow': 0}
Step 31: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': 0.4, 'openness': 0.16000000000000003, 'self_loop': 0, 'tail_follow': 0}
Step 32: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': 0.4, 'openness': 0.14400000000000002, 'self_loop': 0, 'tail_follow': 0}
Step 33: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': 0.4, 'openness': 0.12800000000000003, 'self_loop': 0, 'tail_follow': 0}
Step 34: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': 0.4, 'openness': 0, 'self_loop': 0, 'tail_follow': 0}
Step 35: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': 0.4, 'openness': 0, 'self_loop': 0, 'tail_follow': 0}
Step 36: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': 0.4, 'openness': 0, 'self_loop': 0, 'tail_follow': 0}
Step 37: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': 0.4, 'openness': 0, 'self_loop': 0, 'tail_follow': 0}
Step 38: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': 0.4, 'openness': 0, 'self_loop': 0, 'tail_follow': 0}
Step 39: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 20, 'timeout': 0, 'shape': 0, 'openness': 0, 'self_loop': 0, 'tail_follow': 0}
Step 40: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': 0, 'openness': 0.2, 'self_loop': 0, 'tail_follow': 0}
Step 41: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': 0.5, 'openness': 0.2, 'self_loop': 0, 'tail_follow': 0}
Step 42: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': 0.5, 'openness': 0.2, 'self_loop': 0, 'tail_follow': 0}
Step 43: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': 0.5, 'openness': 0.2, 'self_loop': 0, 'tail_follow': 0}
Step 44: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': 0.5, 'openness': 0.2, 'self_loop': 0, 'tail_follow': 0}
Step 45: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': 0.5, 'openness': 0.2, 'self_loop': 0, 'tail_follow': 0}
Step 46: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': 0.5, 'openness': 0.2, 'self_loop': 0, 'tail_follow': 0}
Step 47: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': 0.5, 'openness': 0.2, 'self_loop': 0, 'tail_follow': 0}
Step 48: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': 0.5, 'openness': 0.2, 'self_loop': 0, 'tail_follow': 0}
Step 49: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': 0.5, 'openness': 0.2, 'self_loop': 0, 'tail_follow': 0}
Step 50: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': 0.5, 'openness': 0.2, 'self_loop': 0, 'tail_follow': 0}
Step 51: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': -0.25, 'openness': 0.2, 'self_loop': 0, 'tail_follow': 0}
Step 52: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': 0.5, 'openness': 0.2, 'self_loop': 0, 'tail_follow': 0}
Step 53: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': 0.5, 'openness': 0.2, 'self_loop': 0, 'tail_follow': 0}
Step 54: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': 0.5, 'openness': 0.2, 'self_loop': 0, 'tail_follow': 0}
Step 55: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': 0.5, 'openness': 0.2, 'self_loop': 0, 'tail_follow': 0}
Step 56: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 20, 'timeout': 0, 'shape': 0, 'openness': 0.2, 'self_loop': 0, 'tail_follow': 0}
Step 57: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': 0, 'openness': 0.24, 'self_loop': 0, 'tail_follow': 0}
Step 58: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': -0.3, 'openness': 0.21600000000000003, 'self_loop': 0, 'tail_follow': 0}
Step 59: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': 0.6, 'openness': 0.24, 'self_loop': 0, 'tail_follow': 0}
Step 60: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': 0.6, 'openness': 0.24, 'self_loop': 0, 'tail_follow': 0}
Step 61: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': 0.6, 'openness': 0.24, 'self_loop': 0, 'tail_follow': 0}
Step 62: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': 0.6, 'openness': 0.24, 'self_loop': 0, 'tail_follow': 0}
Step 63: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': -0.3, 'openness': 0.24, 'self_loop': 0, 'tail_follow': 0}
Step 64: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': -0.3, 'openness': 0.24, 'self_loop': 0, 'tail_follow': 0}
Step 65: {'idle': -0.1, 'collision': 0, 'body': -15, 'eat': 0, 'timeout': 0, 'shape': 0, 'openness': 0, 'self_loop': 0, 'tail_follow': 0}

--- Game 81 ---
Step 1: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': -0.2, 'openness': 0.16000000000000003, 'self_loop': 0, 'tail_follow': 0}
Step 2: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': -0.2, 'openness': 0.16000000000000003, 'self_loop': 0, 'tail_follow': 0}
Step 3: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': 0.4, 'openness': 0.16000000000000003, 'self_loop': 0, 'tail_follow': 0}
Step 4: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': 0.4, 'openness': 0.16000000000000003, 'self_loop': 0, 'tail_follow': 0}
Step 5: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': -0.2, 'openness': 0.16000000000000003, 'self_loop': 0, 'tail_follow': 0}
Step 6: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': -0.2, 'openness': 0.16000000000000003, 'self_loop': 0, 'tail_follow': 0}
Step 7: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': 0.4, 'openness': 0.16000000000000003, 'self_loop': 0, 'tail_follow': 0}
Step 8: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': 0.4, 'openness': 0.16000000000000003, 'self_loop': 0, 'tail_follow': 0}
Step 9: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': -0.2, 'openness': 0.16000000000000003, 'self_loop': 0, 'tail_follow': 0}
Step 10: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': -0.2, 'openness': 0.16000000000000003, 'self_loop': 0, 'tail_follow': 0}
Step 11: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': 0.4, 'openness': 0.16000000000000003, 'self_loop': 0, 'tail_follow': 0}
Step 12: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': 0.4, 'openness': 0.16000000000000003, 'self_loop': 0, 'tail_follow': 0}
Step 13: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': 0.4, 'openness': 0.16000000000000003, 'self_loop': 0, 'tail_follow': 0}
Step 14: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': -0.2, 'openness': 0.16000000000000003, 'self_loop': 0, 'tail_follow': 0}
Step 15: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': -0.2, 'openness': 0.16000000000000003, 'self_loop': 0, 'tail_follow': 0}
Step 16: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': 0.4, 'openness': 0.16000000000000003, 'self_loop': 0, 'tail_follow': 0}
Step 17: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': 0.4, 'openness': 0.16000000000000003, 'self_loop': 0, 'tail_follow': 0}
Step 18: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': -0.2, 'openness': 0.16000000000000003, 'self_loop': 0, 'tail_follow': 0}
Step 19: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': -0.2, 'openness': 0.16000000000000003, 'self_loop': 0, 'tail_follow': 0}
Step 20: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': 0.4, 'openness': 0.16000000000000003, 'self_loop': 0, 'tail_follow': 0}
Step 21: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': 0.4, 'openness': 0.16000000000000003, 'self_loop': 0, 'tail_follow': 0}
Step 22: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': -0.2, 'openness': 0.16000000000000003, 'self_loop': 0, 'tail_follow': 0}
Step 23: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': -0.2, 'openness': 0.16000000000000003, 'self_loop': 0, 'tail_follow': 0}
Step 24: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': 0.4, 'openness': 0.16000000000000003, 'self_loop': 0, 'tail_follow': 0}
Step 25: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': 0.4, 'openness': 0.16000000000000003, 'self_loop': 0, 'tail_follow': 0}
Step 26: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': -0.2, 'openness': 0.16000000000000003, 'self_loop': 0, 'tail_follow': 0}
Step 27: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': -0.2, 'openness': 0.16000000000000003, 'self_loop': 0, 'tail_follow': 0}
Step 28: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': 0.4, 'openness': 0.16000000000000003, 'self_loop': 0, 'tail_follow': 0}
Step 29: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': 0.4, 'openness': 0.16000000000000003, 'self_loop': 0, 'tail_follow': 0}
Step 30: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': -0.2, 'openness': 0.16000000000000003, 'self_loop': 0, 'tail_follow': 0}
Step 31: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': -0.2, 'openness': 0.16000000000000003, 'self_loop': 0, 'tail_follow': 0}
Step 32: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': 0.4, 'openness': 0.16000000000000003, 'self_loop': 0, 'tail_follow': 0}
Step 33: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': 0.4, 'openness': 0.16000000000000003, 'self_loop': 0, 'tail_follow': 0}
Step 34: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': -0.2, 'openness': 0.16000000000000003, 'self_loop': 0, 'tail_follow': 0}
Step 35: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': -0.2, 'openness': 0.16000000000000003, 'self_loop': 0, 'tail_follow': 0}
Step 36: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': 0.4, 'openness': 0.16000000000000003, 'self_loop': 0, 'tail_follow': 0}
Step 37: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': 0.4, 'openness': 0.16000000000000003, 'self_loop': 0, 'tail_follow': 0}
Step 38: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': -0.2, 'openness': 0.16000000000000003, 'self_loop': 0, 'tail_follow': 0}
Step 39: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': -0.2, 'openness': 0.16000000000000003, 'self_loop': 0, 'tail_follow': 0}
Step 40: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': 0.4, 'openness': 0.16000000000000003, 'self_loop': 0, 'tail_follow': 0}
Step 41: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': 0.4, 'openness': 0.16000000000000003, 'self_loop': 0, 'tail_follow': 0}
Step 42: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': -0.2, 'openness': 0.16000000000000003, 'self_loop': 0, 'tail_follow': 0}
Step 43: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': -0.2, 'openness': 0.16000000000000003, 'self_loop': 0, 'tail_follow': 0}
Step 44: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': 0.4, 'openness': 0.16000000000000003, 'self_loop': 0, 'tail_follow': 0}
Step 45: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': 0.4, 'openness': 0.16000000000000003, 'self_loop': 0, 'tail_follow': 0}
Step 46: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': -0.2, 'openness': 0.16000000000000003, 'self_loop': 0, 'tail_follow': 0}
Step 47: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': -0.2, 'openness': 0.16000000000000003, 'self_loop': 0, 'tail_follow': 0}
Step 48: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': 0.4, 'openness': 0.16000000000000003, 'self_loop': 0, 'tail_follow': 0}
Step 49: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': 0.4, 'openness': 0.16000000000000003, 'self_loop': 0, 'tail_follow': 0}
Step 50: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': -0.2, 'openness': 0.16000000000000003, 'self_loop': 0, 'tail_follow': 0}
Step 51: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': -0.2, 'openness': 0.16000000000000003, 'self_loop': 0, 'tail_follow': 0}
Step 52: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': 0.4, 'openness': 0.16000000000000003, 'self_loop': 0, 'tail_follow': 0}
Step 53: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': 0.4, 'openness': 0.16000000000000003, 'self_loop': 0, 'tail_follow': 0}
Step 54: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': -0.2, 'openness': 0.16000000000000003, 'self_loop': 0, 'tail_follow': 0}
Step 55: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': -0.2, 'openness': 0.16000000000000003, 'self_loop': 0, 'tail_follow': 0}
Step 56: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': 0.4, 'openness': 0.16000000000000003, 'self_loop': 0, 'tail_follow': 0}
Step 57: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': 0.4, 'openness': 0.16000000000000003, 'self_loop': 0, 'tail_follow': 0}
